,index,name,cre_id,Lng,Lat,place_id,gas_price,gas type,Rating,User Ratings,Google_Name,Address,Types
500,1278,"GRUPO OCTANO, S.A. DE C.V.",PL/415/EXP/ES/2015,-100.8826,19.807579999999998,2539,19.59,diesel,3.7,10,GRUPO OCTANO Estación Queréndaro,"Avenida, Álvaro Obregón Ote., Centro, Queréndaro","gas_station, point_of_interest, establishment"
501,1281,"ESTACION LA VICTORIA, S.A. DE C.V.",PL/677/EXP/ES/2015,-117.024,32.521359999999994,2540,17.99,regular,3.7,61,CHEVRON,"Blvd. Agua Caliente # 9443, Davila, Tijuana","gas_station, point_of_interest, establishment"
502,1283,SERVICIO ZENOTE S.A. DE C.V.,PL/884/EXP/ES/2015,-86.86021,21.15723,2541,19.64,regular,3.3,3,Pemex,"Av. López Portillo 45, 58, Cancún","gas_station, point_of_interest, establishment"
503,1285,"DIAZ GAS, S.A. DE C.V.",PL/747/EXP/ES/2015,-106.4565,31.75163,2542,12.0,regular,3.5,2,Pemex,"Avenida Malecón, Avénida dé las Américas y, Cd Juárez","gas_station, point_of_interest, establishment"
504,1287,"PETROMAX, S.A. DE C.V.",PL/468/EXP/ES/2015,-98.30024,26.04308,2543,14.79,regular,4.1,79,Pemex,"Lib. Carrt. Monterrey-Matamoros y, Homero, Reynosa","gas_station, point_of_interest, establishment"
505,1289,"GRUPO OCTANO, S.A. DE C.V.",PL/618/EXP/ES/2015,-103.6072,20.73159,2544,18.99,regular,4.1,13,Pemex,Jalisco,"gas_station, point_of_interest, establishment"
506,1292,"PETROMAX, S.A. DE C.V.",PL/518/EXP/ES/2015,-103.4448,20.5867,2545,18.69,regular,4.3,701,Petro-7 Est 6096 La Tijera,"Carretera Guadaljara Morelia km 3, 5 1501, La Tijera","gas_station, point_of_interest, establishment"
507,1294,"PETROMAX, S.A. DE C.V.",PL/522/EXP/ES/2015,-98.15037,25.597160000000002,2546,14.79,regular,0,0,Estación de Servicio Gulf,"Avenida Ingeniero Santiago Guajardo esquina, Carr. 82 S/N, Centro, Valle Hermoso","gas_station, point_of_interest, establishment"
508,1296,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",PL/396/EXP/ES/2015,-108.9258,25.94688,2547,20.99,premium,0,0,Pemex,Carret. Los Mochis-El Fuerte Entq. Av. Miguel Hgo,"gas_station, point_of_interest, establishment"
509,1299,"PETROMAX, S.A. DE C.V.",PL/554/EXP/ES/2015,-100.0855,25.63737,2548,17.99,regular,4.1,128,PEMEX,"Carretera A Reynosa Km 298 No. 106, Juárez","gas_station, point_of_interest, establishment"
510,1301,Operadora Alianza de Estaciones de Servicio SADECV,PL/628/EXP/ES/2015,-99.27911,19.38935,2549,19.49,regular,3.9,53,Pemex,"Av. Vialidad de la Barranca Hueyetlaco Nos, Del Olivo","gas_station, point_of_interest, establishment"
511,1304,"PETROMAX, S.A. DE C.V.",PL/513/EXP/ES/2015,-100.2875,25.82599,2550,19.29,regular,3.9,9,Pension El Dolar,Eje Metropolitano 910 258,"gas_station, point_of_interest, establishment"
512,1307,MULTISERVICIOS LA PILARICA SA DE CV,PL/409/EXP/ES/2015,-108.9828,25.77471,2551,19.99,diesel,0,0,Gasolinera Pemex,"Boulevard Alamos No. 900 Sur Fracc, Alamos I","gas_station, point_of_interest, establishment"
513,1310,"EST. DE SERV. PUERTA DE MEXICO,S.DER.L.DECV",PL/640/EXP/ES/2015,-117.0121,32.51887,2552,18.59,premium,4,101,Gasolinera Pemex,"Avenida, Blvrd Gral Rodolfo Sánchez Taboada No. 10496, Zona Urbana Rio Tijuana, Tijuana","gas_station, point_of_interest, establishment"
514,1313,"GRUPO OCTANO, S.A. DE C.V.",PL/531/EXP/ES/2015,-104.2104,19.80574,2553,16.6,regular,0,0,Pemex,"JAL 429 448, Oriente Segunda Secc, El Grullo","gas_station, point_of_interest, establishment"
515,1316,"PETROMAX, S.A. DE C.V.",PL/470/EXP/ES/2015,-103.4232,25.54993,2554,18.39,regular,4.2,83,Petro7...Diesel,"Blvrd Diagonal Reforma 2301-C MADERERIA DEL NAZAS, Abastos, Torreón","gas_station, point_of_interest, establishment"
516,1319,"PETROMAX, S.A. DE C.V.",PL/436/EXP/ES/2015,-100.8062,25.42695,2555,18.89,regular,3.9,263,Pemex,Coahuila,"gas_station, point_of_interest, establishment"
517,1322,"PETROMAX, S.A. DE C.V.",PL/474/EXP/ES/2015,-100.1769,25.668570000000003,2556,18.09,regular,4.2,104,Petro Seven 10029 Federalismo,"A Reynosa, Industrial La Silla, Guadalupe","gas_station, point_of_interest, establishment"
518,1324,"ANAHUAC SERVICIOS GASOLINEROS, S.A. DE C.V.",PL/815/EXP/ES/2015,-100.9548,25.55191,2557,18.15,premium,3.8,50,Pemex,"Calle Blvrd Gustavo Díaz Ordaz 620A, El Escorial I, Ramos Arizpe","gas_station, point_of_interest, establishment"
519,1326,"ESTACION DE SERVICIO LEON, S.DER.L. DE C.V.",PL/878/EXP/ES/2015,-101.6378,21.12689,2558,18.99,diesel,5,2,CHEVRON Petrozone,"Blvrd Vicente Valtierra 4401, San Miguel de Renteria, León","gas_station, point_of_interest, establishment"
520,1329,"PETROMAX, S.A. DE C.V.",PL/461/EXP/ES/2015,-100.1733,25.69495,2559,19.29,regular,3.7,23,Gasolinera Pemex,"Carr. Libre Monterrey - Reynosa Km 10, Jardines de Guadalupe, Guadalupe","gas_station, point_of_interest, establishment"
521,1331,"DIAZ GAS, S.A. DE C.V.",PL/794/EXP/ES/2015,-106.3859,31.601779999999998,2560,12.82,regular,4.3,204,TotalGas,"Blvd, Av Manuel Talamas Camandari No. 850, Municipio Libre, Cd Juárez","gas_station, point_of_interest, establishment"
522,1334,"PETROLIFEROS LA TERRITORIAL, S. DE R.L. DE C.V.",PL/832/EXP/ES/2015,-110.971,31.18406,2561,15.09,regular,3.6,14,Pemex,"Presidio # 3, Nogales","gas_station, point_of_interest, establishment"
523,1337,"ESTACION LA VICTORIA, S.A. DE C.V.",PL/672/EXP/ES/2015,-116.844,32.46996,2562,17.99,regular,4.4,26,CHEVRON,"Blvd. Las Fuentes No 22121, Hacienda Santa Maria, Tijuana","gas_station, point_of_interest, establishment"
524,1340,"SERVICIO LA PANADERA, S.A. DE C.V.",PL/742/EXP/ES/2015,-102.6932,21.863120000000002,2563,18.69,regular,3.8,125,Pemex,México 70,"gas_station, point_of_interest, establishment"
525,1343,"PETROMAX, S.A. DE C.V.",PL/575/EXP/ES/2015,-97.50922,25.85519,2564,14.39,regular,4.1,133,Gasolinera Orsan,"Victoria, Matamoros","gas_station, point_of_interest, establishment"
526,1346,"GRUPO OCTANO, S.A. DE C.V.",PL/423/EXP/ES/2015,-105.2558,20.74569,2565,19.49,regular,3.8,64,Gasolinera Pemex,"Avenida San Vicente No. 500, San Vicente","gas_station, point_of_interest, establishment"
527,1349,"Servicio Molinos, S.A. de C.V.",PL/865/EXP/ES/2015,-99.24599,18.9601,2566,17.99,regular,4,1,Gas,"A, 62140, Av. Emiliano Zapata 908, Bellavista, Cuernavaca","gas_station, point_of_interest, establishment"
528,1351,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",PL/392/EXP/ES/2015,-108.9844,25.81244,2567,19.99,regular,3.9,7,Gasolinera Pemex,"Boulevard Antonio Rosales No. 1890 Nte, Jiquilpan","gas_station, point_of_interest, establishment"
529,1353,"ESTACION ANAHUAC, S.A. DE C.V.",PL/749/EXP/ES/2015,-100.521,28.702009999999998,2568,16.8,premium,4.1,35,GASOLINERA Estación Anáhuac,"Av. Emilio Carranza 400, Zona Centro, Piedras Negras","gas_station, point_of_interest, establishment"
530,1355,"Gasolinería Málaga, S.A. de C.V.",PL/653/EXP/ES/2015,-99.05344000000001,19.572029999999998,2569,18.99,regular,2.5,6,Gasolineria PEMEX,"Fuego 31, Tulpetlac, Ecatepec de Morelos","gas_station, point_of_interest, establishment"
531,1358,"GRUPO OCTANO, S.A. DE C.V.",PL/372/EXP/ES/2015,-105.1171,21.83434,2570,18.28,regular,3.8,62,Pemex,"Tepic - Mazatlán, Estación Nanchi","gas_station, point_of_interest, establishment"
532,1361,"SERV.EL TRIANGULO DEL REFUGIO,S.DER.L.DEC.V.",PL/679/EXP/ES/2015,-117.0468,32.48268,2571,18.99,premium,4.4,36,CHEVRON,"Lib. Sur 7007, Loma Bonita Nte., Tijuana","gas_station, point_of_interest, establishment"
533,1364,DAGAL SA DE CV,PL/1346/EXP/ES/2015,-115.0736,32.552209999999995,2586,18.39,diesel,0,0,Pemex,Bataquez Domicilio Conocido,"gas_station, point_of_interest, establishment"
534,1367,Servicio Malecón San Juan S.A. de C.V.,PL/1460/EXP/ES/2015,-102.3394,21.25467,2587,19.27,regular,4.1,73,Malecón San Juan Service S.A. de C.V.,"Malecón David Noel Ramírez Padilla 174, Santa Teresa, San Juan de los Lagos","gas_station, point_of_interest, establishment"
535,1369,"FELIX GAS, S.A. DE C.V.",PL/1366/EXP/ES/2015,-116.6868,31.88656,2588,18.69,premium,3.8,116,PEMEX,"Av. Colinas de Riverside # 224, Ensenada","gas_station, point_of_interest, establishment"
536,1372,Gasolinera El Limon SA de CV,PL/1363/EXP/ES/2015,-104.1544,19.813010000000002,2589,19.09,regular,4.5,2,Pemex,"Carrt. El Grullo, El Limón # 100, Cd Guzman","gas_station, point_of_interest, establishment"
537,1375,SERVICIO EL ZACATITO DE AZCAPO S. A. DE C. V.,PL/1405/EXP/ES/2015,-99.18771,19.48226,2590,18.55,regular,3.9,116,Pemex,"Calle Ignacio Zaragoza 24, Centro de Azcapotzalco, Ciudad de México","gas_station, point_of_interest, establishment"
538,1377,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",PL/1370/EXP/ES/2015,-102.5641,20.54131,2591,19.75,regular,3,1,Pemex,"Km. 6 Carr. Atotonilco, Guadalajara, Atotonilco el Alto","gas_station, point_of_interest, establishment"
539,1380,"LAS MEJORES ESTACIONES, S.A DE C.V",PL/1487/EXP/ES/2015,-99.00641999999999,19.61393,2592,18.99,regular,4,558,BP,"Avenida Central Prolongacion, José López Portillo Esquina, Ecatepec de Morelos","gas_station, convenience_store, cafe, food, point_of_interest, store, establishment"
540,1383,SERVICIOS JAZMIN S.A. DE C.V.,PL/1479/EXP/ES/2015,-86.87553,20.911189999999998,2593,19.89,regular,3,2,Estación de Servicio Gulf,"Carretera Federal Chetumal Pto. Juárez Km 328, Puerto Morelos","gas_station, point_of_interest, establishment"
541,1386,BOSCOGAS SA DE CV,PL/1469/EXP/ES/2015,-101.7234,21.13685,2594,18.7,regular,4.3,117,Boscogas,"Blvd. San Juan Bosco 2326, La Joya, León","gas_station, point_of_interest, establishment"
542,1389,DAGAL SA DE CV,PL/1426/EXP/ES/2015,-114.9992,32.569309999999994,2595,18.39,diesel,3.7,17,Pemex,"Carr.Vecinal a, Vicente Guerrero","gas_station, point_of_interest, establishment"
543,1392,DAGAL SA DE CV,PL/1365/EXP/ES/2015,-115.3106,32.47156,2596,17.39,regular,4,38,Pemex,"Lore, Estatal Núm. 2 1, Michoacán de Ocampo","gas_station, point_of_interest, establishment"
544,1395,"SERVICIO FACIL DEL SURESTE, S.A. DE C.V.",PL/1448/EXP/ES/2015,-94.43388,18.14966,2597,17.79,regular,0,0,gasolinera,"Av Miguel A. Quevedo 1322, Maria de la Piedad, Coatzacoalcos","gas_station, point_of_interest, establishment"
545,1398,"SERVICIO SAN MARTIN TEOTIHUACAN, S.A. DE C.V.",PL/1414/EXP/ES/2015,-98.82011999999999,19.70335,2598,19.0,regular,4.1,24,TOTAL Teotihuacan,"Cda Rosendo Arnaiz, San Martín Centro","gas_station, point_of_interest, establishment"
546,1401,ESTACIONES DE SERVICIO AUTO S.A. DE C.V.,PL/1416/EXP/ES/2015,-92.85670999999999,18.16003,2599,17.99,regular,3.8,127,Pemex gas station Orsan,"Cdad. del Carmen - Villahermosa, Macultepec","gas_station, point_of_interest, establishment"
547,1404,"ESTACION RAEL, S. DE R.L. DE C.V.",PL/1379/EXP/ES/2015,-116.5731,31.7198,2600,17.25,diesel,3,1,Pemex,Av.Tijuana 1205 entre Carr.Transp.Y Av.Ensenada,"gas_station, point_of_interest, establishment"
548,1407,ESTACIONES DE SERVICIO S.A. DE C.V.,PL/1428/EXP/ES/2015,-101.1438,20.54966,2601,18.89,regular,3.3,17,Mobil,"Panamericana km 311000, Salamanca","gas_station, point_of_interest, establishment"
549,1410,"PROMOTORA DE AUTO ESTACIONES, S.A. DE C.V.",PL/1425/EXP/ES/2015,-101.2339,19.67792,2602,17.99,regular,3.7,157,PEMEX-08185,"Perif. Paseo de la República 2150, Los Vergeles, Morelia","gas_station, point_of_interest, establishment"
550,1413,"Gasolinera Del Parque, S.A. de C.V.",PL/1455/EXP/ES/2015,-102.2888,21.966479999999997,2603,18.18,regular,5,2,TOTAL Del Parque,"Circuito, Aguascalientes - San Marcos No. 164, Fraccionamiento Industrial, San Francisco de los Romo","gas_station, point_of_interest, establishment"
551,1416,"BP ESTACIONES Y SERVICIOS ENERGETICOS, S.A. DE C.V.",PL/1390/EXP/ES/2015,-116.9273,32.490590000000005,2604,17.65,regular,3.8,8,BP Combustibles,"Av de los Insurgentes 1100, Guaycura, Tijuana","gas_station, point_of_interest, establishment"
552,1419,"GRUPO FERCHE, S.A. DE C.V.",PL/1328/EXP/ES/2015,-96.10516,19.12053,2605,17.54,regular,4.9,7,FERCHE GAS,"Federal 1397, Las Gardenias, Boca del Río","gas_station, point_of_interest, establishment"
