name,cre_id,location/x,location/y,_place_id
"GRUPO OCTANO, S.A. DE C.V.",PL/501/EXP/ES/2015,-101.1592,20.20225,2159
GRUPO EMPRESARIAL CACHANILLA SA DE CV,PL/383/EXP/ES/2015,-114.7834,32.47077,2160
"PETROMAX, S.A. DE C.V.",PL/559/EXP/ES/2015,-100.9898,25.38848,2161
"PETROMAX, S.A. DE C.V.",PL/510/EXP/ES/2015,-103.4574,25.55805,2162
ESTACION DE SERVICIO TEZONTEPEC S.A. DE C.V.,PL/719/EXP/ES/2015,-99.26816,20.19257,2163
"ESTACION RAEL, S. DE R.L. DE C.V.",PL/729/EXP/ES/2015,-116.9314,32.48362,2164
"Estación de Servicio Cordoba, S.A. de C.V.",PL/664/EXP/ES/2015,-99.20078,18.91205,2165
Becktrop Operadora SA de CV,PL/702/EXP/ES/2015,-117.0217,32.51695,2166
GRUPO EMPRESARIAL CACHANILLA SA DE CV,PL/378/EXP/ES/2015,-115.4283,32.60439,2167
GRUPO GOCALVI SA DE CV,PL/847/EXP/ES/2015,-106.5244,31.77218,2168
"GRUPO OCTANO, S.A. DE C.V.",PL/419/EXP/ES/2015,-103.4172,20.64037,2169
"GRUPO OCTANO, S.A. DE C.V.",PL/414/EXP/ES/2015,-101.0983,19.78714,2170
GRUPO GOCALVI SA DE CV,PL/870/EXP/ES/2015,-106.4938,31.72176,2171
"SERVICIO GENCAR, S.A. DE C.V.",PL/805/EXP/ES/2015,-91.8837,18.64528,2172
GRUPO EMPRESARIAL CACHANILLA SA DE CV,PL/393/EXP/ES/2015,-115.3589,32.55959,2173
GRUPO EMPRESARIAL CACHANILLA SA DE CV,PL/384/EXP/ES/2015,-115.3366,32.56762,2174
"PETROMAX, S.A. DE C.V.",PL/622/EXP/ES/2015,-103.4968,25.59786,2175
"PETROMAX, S.A. DE C.V.",PL/435/EXP/ES/2015,-99.23218,19.47735,2176
"PETROMAX, S.A. DE C.V.",PL/466/EXP/ES/2015,-100.174,25.73397,2177
"PETROMAX, S.A. DE C.V.",PL/570/EXP/ES/2015,-100.273,25.76927,2178
GAS SANFER S. DE R.L. DE C.V.,PL/755/EXP/ES/2015,-103.719,19.24986,2179
"COMBU-EXPRESS, S.A. DE C.V.",PL/769/EXP/ES/2015,-104.8626,21.49188,2180
"PETROMAX, S.A. DE C.V.",PL/450/EXP/ES/2015,-100.1586,25.78579,2181
"Servicio Jacarandas, S.A. de C.V.",PL/854/EXP/ES/2015,-99.0181,19.61462,2182
"PETROMAX, S.A. DE C.V.",PL/429/EXP/ES/2015,-98.29991,26.08213,2183
"GRUPO OCTANO, S.A. DE C.V.",PL/534/EXP/ES/2015,-105.2258,20.69032,2184
MULTISERVICIOS LA PILARICA SA DE CV,PL/379/EXP/ES/2015,-109.0079,25.74504,2185
"Estación de Servicio Marbella, S.A. de C.V.",PL/692/EXP/ES/2015,-99.07384,19.54896,2186
"PETROMAX, S.A. DE C.V.",PL/614/EXP/ES/2015,-98.33501,26.06836,2187
"Gasolinería Ulises, S.A. de C.V.",PL/648/EXP/ES/2015,-99.2403,19.62737,2188
"ARY SUPER SERVICIOS VI, SA DE CV",PL/852/EXP/ES/2015,-103.3994,25.59699,2189
"PETROMAX, S.A. DE C.V.",PL/574/EXP/ES/2015,-99.05198,19.54947,2190
"Estación de Servicio Cuenca, S.A. de C.V.",PL/693/EXP/ES/2015,-97.85314,22.254,2191
"ESTACION DE SERVICIO LEON, S.DER.L. DE C.V.",PL/859/EXP/ES/2015,-101.6542,21.15335,2192
DALROM S.A DE C.V.,PL/757/EXP/ES/2015,-102.2435,21.87411,2193
"PETROMAX, S.A. DE C.V.",PL/555/EXP/ES/2015,-100.261,25.79039,2194
COMBUSTIBLES ARCOTETE S.A. DE C.V.,PL/735/EXP/ES/2015,-92.60492,16.73734,2195
"Estación de Servicio la Rioja, S.A. de C.V.",PL/647/EXP/ES/2015,-99.08937,19.82526,2196
servicio el toreo de saltillo sa de cv,PL/771/EXP/ES/2015,-100.9147,25.44261,2197
"PETROMAX, S.A. DE C.V.",PL/514/EXP/ES/2015,-100.4822,25.67927,2198
SERVICIO SIERRA DE ARTEAGA SA DE CV,PL/783/EXP/ES/2015,-100.8774,25.44026,2199
"DIAZ GAS, S.A. DE C.V.",PL/761/EXP/ES/2015,-106.4253,31.7462,2200
"PETROMAX, S.A. DE C.V.",PL/458/EXP/ES/2015,-100.1629,25.70878,2201
ESTACION TALLERES S.A. DE C.V.,PL/888/EXP/ES/2015,-86.88126,21.15601,2202
"PETROMAX, S.A. DE C.V.",PL/564/EXP/ES/2015,-100.3628,25.71314,2203
"PETROMAX, S.A. DE C.V.",PL/520/EXP/ES/2015,-100.2664,25.66576,2204
"GRUPO LONOR, S.A. DE C.V.  E11919",PL/874/EXP/ES/2015,-91.96599,15.8336,2205
"ESTACION DE SERVICIO LEON, S.DER.L. DE C.V.",PL/877/EXP/ES/2015,-101.6518,21.07652,2206
"GRUPO OCTANO, S.A. DE C.V.",PL/504/EXP/ES/2015,-104.2044,19.80471,2207
"GRUPO OCTANO, S.A. DE C.V.",PL/416/EXP/ES/2015,-104.883,21.49595,2208
GASOLINERAS PABA SA DE CV,PL/733/EXP/ES/2015,-110.2945,24.12212,2209
SERVICIO GASOL SA DE CV,PL/883/EXP/ES/2015,-103.3947,25.55813,2210
"PETROMAX, S.A. DE C.V.",PL/542/EXP/ES/2015,-98.23244,26.02191,2211
Becktrop Operadora SA de CV,PL/709/EXP/ES/2015,-117.0261,32.5229,2212
"ESTACION AMBAR, S. DE R.L. DE C.V.",PL/722/EXP/ES/2015,-116.924,32.49483,2213
"Estación de Servicio Venta de Carpio, S.A. de C.V.",PL/819/EXP/ES/2015,-99.00452,19.6214,2214
"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",PL/370/EXP/ES/2015,-109.0119,25.78968,2215
GASOLINERAS PABA SA DE CV,PL/688/EXP/ES/2015,-110.314,24.14254,2216
"PETROMAX, S.A. DE C.V.",PL/540/EXP/ES/2015,-100.4024,25.76277,2217
ENERGETICOS Y SERVICIOS OCOZOCOAUTLA  SA DE CV,PL/765/EXP/ES/2015,-92.34282,14.91567,2218
"PETROMAX, S.A. DE C.V.",PL/600/EXP/ES/2015,-100.253,25.73068,2219
APOYOS Y SUMIN.COMERCIALES E INDUST. S.A. DE C.V.,PL/633/EXP/ES/2015,-117.0852,32.52634,2220
GRUPO EMPRESARIAL CACHANILLA SA DE CV,PL/398/EXP/ES/2015,-115.3744,32.65948,2221
GRUPO EMPRESARIAL CACHANILLA SA DE CV,PL/389/EXP/ES/2015,-115.4325,32.59562,2222
"ESTACION CUCAPAH, S.A. DE C.V.",PL/687/EXP/ES/2015,-116.8796,32.51322,2223
"PETROMAX, S.A. DE C.V.",PL/603/EXP/ES/2015,-100.264,25.82103,2224
"ESTACION GRUGAS, S. DE R.L. DE C.V.",PL/669/EXP/ES/2015,-116.9147,32.53901,2225
DISTRIBUIDORA DE COBUSTIBLES LAS CAÑADAS SA DE CV,PL/739/EXP/ES/2015,-90.63845,16.08285,2226
servicios energeticos brisas sa de cv,PL/741/EXP/ES/2015,-100.9835,25.48155,2227
"PETROMAX, S.A. DE C.V.",PL/589/EXP/ES/2015,-100.3206,25.78637,2228
PETRO SERVICIOS DEL SURESTE SA DE CV,PL/643/EXP/ES/2015,-93.12914,17.90663,2229
Becktrop Operadora SA de CV,PL/716/EXP/ES/2015,-115.4722,32.65059,2230
