,index,name,cre_id,Lng,Lat,place_id,gas_price,gas type,Rating,User Ratings,Google_Name,Address,Types
9574,25353,OFELIA HERNANDEZ LARA,PL/11230/EXP/ES/2015,-103.1414,20.87387,12769,16.99,regular,5,5,Gasolinera Pemex,"Avenida Independencia Oriente No. 1130, Déleg, Palos Altos","gas_station, point_of_interest, establishment"
9575,25356,"Servicio Tayoltita, S.A. de C.V.",PL/10649/EXP/ES/2015,-105.9242,24.10412,12770,20.8,diesel,0,0,Gasolinera Pemex,Camino Tayoltita - Aeropuerto S/N,"gas_station, point_of_interest, establishment"
9576,25358,"PARANGARICUTIRO, S.A. DE C.V.",PL/10650/EXP/ES/2015,-102.1157,19.4123,12771,17.99,regular,3.6,18,PEMEX-4446,"A Uruapan, Cerro de la Campana, Nuevo San Juan Parangaricutiro","gas_station, point_of_interest, establishment"
9577,25361,JOSE ALEJANDRO GUZMAN PALAFOX,PL/10651/EXP/ES/2015,-97.60076,19.18911,12772,17.79,regular,3.5,28,Pemex,"Carrt. Fed. Mexico-Veracruz Km 42+800, San Salvador el Seco","gas_station, point_of_interest, establishment"
9578,25364,AVARO TELLO RODRIGUEZ,PL/10652/EXP/ES/2015,-101.4784,25.374270000000003,12773,18.8,regular,4,68,9537 San Jose Gas Station Service,"Calle Gral. Cepeda 300, Gral Cepeda","gas_station, point_of_interest, establishment"
9579,25366,Parador Santa Cecilia S.A. de C.V.,PL/10653/EXP/ES/2015,-102.1432,23.48661,12774,19.0,regular,4.1,71,Gasolinera,Villa de Cos,"gas_station, point_of_interest, establishment"
9580,25369,JOSE MARIA MARTINEZ PEÑA,PL/10654/EXP/ES/2015,-97.4928,25.87388,12775,15.35,regular,5,2,GRN Gasolineras Lauro Villar,"Av. Gral. Lauro Villar 125, Modelo, Heroica Matamoros","gas_station, point_of_interest, establishment"
9581,25370,AUTOSERVICIO MCGAHEY SA DE CV,PL/10655/EXP/ES/2015,-108.9785,27.04603,12776,20.8,regular,5,1,Pemex,"Carr Navojoa - Alamos Km. 48, Alamos","gas_station, point_of_interest, establishment"
9582,25373,JOSE REYES GODINEZ,PL/10656/EXP/ES/2015,-103.6944,19.23575,12778,18.5,regular,4.4,15,Gasolinera Pemex,"Av. Niños Héroes Num. 1490, Vicente Guerrero, Colima","gas_station, point_of_interest, establishment"
9583,25376,SANTA FE MULTIGAS CARBONIFERA SA DE CV,PL/10658/EXP/ES/2015,-101.1458,27.88396,12779,19.79,regular,5,2,Vulcanizadora sellavuf,"Sierra del Pino, Residencial Lomas, Sabinas","gas_station, point_of_interest, establishment"
9584,25379,LOSAR DE BAJA S DE RL DE CV,PL/10657/EXP/ES/2015,-116.9437,32.543890000000005,12780,16.59,premium,0,0,Gasolinera Pemex,"Ca Fray Francisco Eusebio Kino Este N 17539 Fracc, Garita de Otay, Tijuana","gas_station, point_of_interest, establishment"
9585,25382,GASOLINERA LV SA DE CV,PL/10659/EXP/ES/2015,-102.8918,21.18143,12781,18.94,regular,3.8,31,Gasolinera Pemex,"Calle Escobedo No. 44, La Cantera, YahualiCarretera De Gonzalez Gallo","gas_station, point_of_interest, establishment"
9586,25385,GASOLINERIA MORELIA S.A. DE C.V.,PL/10660/EXP/ES/2015,-101.2044,19.70318,12783,16.95,regular,3.8,267,Gasolinera Morelia,"Av Francisco I. Madero Pte 1145, Centro histórico de Morelia, Morelia","gas_station, point_of_interest, establishment"
9587,25388,"SERVICIO SANTA LUCIA, S.A.",PL/10661/EXP/ES/2015,-90.49851,19.84613,12784,19.65,regular,3.6,18,Pemex,Calle 18 Carrt. a Merida S/N,"gas_station, point_of_interest, establishment"
